DscConjUndConsumidoras,DEC,FEC,Custo_Violacao_Continuidade_R$,Custo_Violacao_Tensao_R$,Custo_Compensacao_Geral_R$,Total_Compensacao_R$
EUCLIDES DA CUNHA,0.9936,0.35240000000000005,154705.24,0.0,0.0,154705.24
SUBAUMA,2.2372,0.9364,152971.02,0.0,0.0,152971.02
EUNAPOLIS III,0.5072,0.20800000000000002,152204.76,0.0,0.0,152204.76
MORRO DO CHAPEU,0.946875,0.3364583333333333,147153.91,0.0,0.0,147153.91
SANTO ANTONIO DE JESUS III,1.16,0.38,142779.99,0.0,0.0,142779.99
CICERO DANTAS,0.6706849315068494,0.2753424657534247,140745.53,0.0,0.0,140745.53
SERRINHA,0.4644,0.2184,138383.65,0.0,0.0,138383.65
BARRA GRANDE,1.00375,0.3958333333333333,137548.74,0.0,0.0,137548.74
CABROBO - CELPE,1.9513698630136984,0.5923287671232877,136999.52,0.0,0.0,136999.52
TAPIRAMUTA,0.9550000000000001,0.2602083333333333,129448.19,0.0,0.0,129448.19
CAMACARI V,0.2712,0.1776,123959.18000000001,0.0,0.0,123959.18000000001
ITIUBA,0.7836,0.2104,122455.36,0.0,0.0,122455.36
NUCLEO PILAR/MINERACAO CARAIBA,0.8573972602739727,0.46684931506849314,120945.81,0.0,0.0,120945.81
SAUDE,0.9132000000000001,0.2852,119797.51,0.0,0.0,119797.51
RIACHO DE SANTANA,0.7672916666666666,0.29291666666666666,114078.52,0.0,0.0,114078.52
ANGELICA,1.171875,0.408125,111944.28,0.0,0.0,111944.28
MORRO DO CHAPEU,0.6995999999999999,0.2396,110473.81,0.0,0.0,110473.81
SAQUINHO - ENERGIPE,0.8924657534246576,0.4026027397260274,80409.99,0.0,0.0,80409.99
SANTA BRIGIDA,0.9004109589041096,0.3158904109589041,75396.86,0.0,0.0,75396.86
MONTE SANTO,0.636,0.3188,68550.73,0.0,0.0,68550.73
IGAPORA,1.286,0.466,64164.24,0.0,0.0,64164.24
SERRINHA II,0.6988,0.318,56743.99,0.0,0.0,56743.99
ZEBU,0.9927397260273972,0.24123287671232876,42178.22,0.0,0.0,42178.22
RIACHO DE SANTANA,0.6396000000000001,0.3044,41197.36,0.0,0.0,41197.36
POCO VERDE - ENERGIPE,0.8487671232876712,0.3015068493150685,31915.33,0.0,0.0,31915.33
