DatGeracaoConjuntoDados;SigIndicador;DscIndicador
2026-03-05;IResBR12;Perc. da rec. fat. 12° mês ant. não receb. no mês de ref. classe Resid. Baixa R.
2026-03-05;IResBR18;Perc. da rec. fat. 18° mês ant. não receb. no mês de ref. classe Resid. Baixa R.
2026-03-05;IResBR21;Perc. da rec. fat. 21° mês ant. não receb. no mês de ref. classe Resid. Baixa R.
2026-03-05;IResBR24;Perc. da rec. fat. 24° mês ant. não receb. no mês de ref. classe Resid. Baixa R.
2026-03-05;IResBR3;Perc. da rec. fat. 3° mês ant. não receb. no mês de ref. classe Resid. Baixa R.
2026-03-05;IResBR6;Perc. da rec. fat. 6° mês ant. não receb. no mês de ref. classe Resid. Baixa R.
2026-03-05;IResBRCrt;Quant. de unid. da classe Resid. Baixa R. susp. inadimplência no mês de ref.
2026-03-05;IResTot1;Perc. da rec. fat. 1° mês ant. não receb. no mês de ref. classe Resid. Total
2026-03-05;IRestot12;Perc. da rec. fat. 12° mês ant. não receb. no mês de ref. classe Resid. Total
2026-03-05;IRestot18;Perc. da rec. fat. 18° mês ant. não receb. no mês de ref. classe Resid. Total
2026-03-05;IRestot21;Perc. da rec. fat. 21° mês ant. não receb. no mês de ref. classe Resid. Total
2026-03-05;IRestot24;Perc. da rec. fat. 24° mês ant. não receb. no mês de ref. classe Resid. Total
2026-03-05;IRestot3;Perc. da rec. fat. 3° mês ant. não receb. no mês de ref. classe Resid. Total
2026-03-05;IRestot6;Perc. da rec. fat. 6° mês ant. não receb. no mês de ref. classe Resid. Total
2026-03-05;IResTotCrt;Quant. de unid. da classe Resid. Total susp. inadimplência no mês de ref.
2026-03-05;IRur1;Perc. da rec. fat. 1° mês ant. não receb. no mês de ref. classe Rural
2026-03-05;IRur12;Perc. da rec. fat. 12° mês ant. não receb. no mês de ref. classe Rural
2026-03-05;IRur18;Perc. da rec. fat. 18° mês ant. não receb. no mês de ref. classe Rural
2026-03-05;IRur21;Perc. da rec. fat. 21° mês ant. não receb. no mês de ref. classe Rural
2026-03-05;IRur24;Perc. da rec. fat. 24° mês ant. não receb. no mês de ref. classe Rural
2026-03-05;IRur3;Perc. da rec. fat. 3° mês ant. não receb. no mês de ref. classe Rural
2026-03-05;IRur6;Perc. da rec. fat. 6° mês ant. não receb. no mês de ref. classe Rural
2026-03-05;IRurCrt;Quant. de unid. da classe Rural susp. inadimplência no mês de ref.
2026-03-05;ISerPub1;Perc. da rec. fat. 1° mês ant. não receb. no mês de ref. classe Serviço Púb.
2026-03-05;ISerPub12;Perc. da rec. fat. 12° mês ant. não receb. no mês de ref. classe Serviço Púb.
2026-03-05;ISerPub18;Perc. da rec. fat. 18° mês ant. não receb. no mês de ref. classe Serviço Púb.
2026-03-05;ISerPub21;Perc. da rec. fat. 21° mês ant. não receb. no mês de ref. classe Serviço Púb.
2026-03-05;ISerPub24;Perc. da rec. fat. 24° mês ant. não receb. no mês de ref. classe Serviço Púb.
2026-03-05;ISerPub3;Perc. da rec. fat. 3° mês ant. não receb. no mês de ref. classe Serviço Púb.
2026-03-05;ISerPub6;Perc. da rec. fat. 6° mês ant. não receb. no mês de ref. classe Serviço Púb.
2026-03-05;ISerPubCrt;Quant. de unid. da classe Serviço Púb. susp. inadimplência no mês de ref.
2026-03-05;ITot1;Perc. da rec. fat. 1° mês ant. não receb. no mês de ref. todos os consumidores
2026-03-05;ITot12;Perc. da rec. fat. 12° mês ant. não receb. no mês de ref. todos os consumidores
2026-03-05;ITot18;Perc. da rec. fat. 18° mês ant. não receb. no mês de ref. todos os consumidores
2026-03-05;ITot21;Perc. da rec. fat. 21° mês ant. não receb. no mês de ref. todos os consumidores
2026-03-05;ITot24;Perc. da rec. fat. 24° mês ant. não receb. no mês de ref. todos os consumidores
2026-03-05;ITot3;Perc. da rec. fat. 3° mês ant. não receb. no mês de ref. todos os consumidores
2026-03-05;ITot6;Perc. da rec. fat. 6° mês ant. não receb. no mês de ref. todos os consumidores
2026-03-05;ITotCrt;Quant. total de unid. consumidoras susp. inadimplência no mês de referência
2026-03-05;k3;Valor do encargo de uso do sistema de distribuição
2026-03-05;LOCUC;Localização da Unidade Consumidora
2026-03-05;LOCUCA;Localização da Unidade Consumidora
2026-03-05;LOCUCT;Localização da Unidade Consumidora
2026-03-05;NACCAPDO;Número de acidentados com lesão e com afastamento - Próprio Doença
2026-03-05;NACCAPTJ;Número de acidentados com lesão e com afastamento - Próprio Trajeto
2026-03-05;NACCAPTP;Número de acidentados com lesão e com afastamento - Próprio Típico
2026-03-05;NACCATDO;Número de acidentados com lesão e com afastamento - Terceirizado Doença
2026-03-05;NACCATTJ;Número de acidentados com lesão e com afastamento - Terceirizado Trajet
2026-03-05;NACCATTP;Número de acidentados com lesão e com afastamento - Terceirizado Típico
2026-03-05;NACPDO;Número de acidentes do trabalho - Próprio Doença
2026-03-05;NACPTJ;Número de acidentes do trabalho - Próprio Trajeto
2026-03-05;NACPTP;Número de acidentes do trabalho - Próprio Típico
2026-03-05;NACSAPDO;Número de acidentados com lesão e sem afastamento - Próprio Doença
2026-03-05;NACSAPTJ;Número de acidentados com lesão e sem afastamento - Próprio Trajeto
2026-03-05;NACSAPTP;Número de acidentados com lesão e sem afastamento - Próprio Típico
2026-03-05;NACSATDO;Número de acidentados com lesão e sem afastamento - Terceirizado Doença
2026-03-05;NACSATTJ;Número de acidentados com lesão e sem afastamento - Terceirizado Trajet
2026-03-05;NACSATTP;Número de acidentados com lesão e sem afastamento - Terceirizado Típico
2026-03-05;NACTDO;Número de acidentes do trabalho - Terceirizado Doença
2026-03-05;NACTER;Número de acidentes com terceiros envolvendo a rede elétrica e demais instalaçõe
2026-03-05;NACTERANT;Nº acid terc rede e demais instal - Antena de TV;
2026-03-05;NACTERCFE;Nº acid terc rede e demais instal - Cabo energizado no solo ou falha de equip
2026-03-05;NACTERCHO;Nº acid terc rede e demais instal - Choque elétrico por contato;
2026-03-05;NACTERCLN;Nº acid terc rede e demais instal - Ligações clandestinas;
2026-03-05;NACTERCMP;Nº acid terc rede e demais instal - Construção e manutenção predial;
2026-03-05;NACTERFUR;Nº acid terc rede e demais instal - Furto de cabos e/ou outros equipamentos;
2026-03-05;NACTERGUI;Nº acid terc rede e demais instal - Operação de guindaste
2026-03-05;NACTEROUT;Nº acid terc rede e demais instal - Outros.
2026-03-05;NACTERPIP;Nº acid terc rede e demais instal - Pipa;
2026-03-05;NACTERPOD;Nº acid terc rede e demais instal - Poda de árvore;
2026-03-05;NACTERPST;Nº acid terc rede e demais instal - Abalroamento de poste e/ou demais instal.
2026-03-05;NACTERTVC;Nº acid terc rede e demais instal - Serviços de TV a cabo e telefonia;
2026-03-05;NACTTJ;Número de acidentes do trabalho - Terceirizado Trajeto
2026-03-05;NACTTP;Número de acidentes do trabalho - Terceirizado Típico
2026-03-05;NDIACRI;Número de dias críticos verificados no ano
2026-03-05;NEMPRP;Números de Empregados - Próprio
2026-03-05;NEMPRT;Números de Empregados - Terceirizado
2026-03-05;Nie;Número de Ocorreências Emergenciais com Interrupções
2026-03-05;NMOFUPR;Número de mortes de decorrentes de acidentes do trabalho (funcionários próprios)
2026-03-05;NMOFUTE;Número de mortes decorrentes de acidentes do trabalho (funcionários terceirizado
2026-03-05;NMOPDO;Número de mortes de decorrentes de acidentes do trabalho - Próprio Doença
